profileID,speciality,fees,opentime,closetime,patient
PK67 EWHZ 6I0L L7OR VKZG TRIW,AXDX,$38.56,9:55 AM,6:58 PM,Matthew De Banke
PL16 3707 8960 8734 3717 5690 7185,HPI,$81.46,8:30 AM,6:34 PM,Marietta Behan
IE80 JCPP 6913 6090 0622 01,SGRP,$42.03,8:08 AM,10:20 PM,Annissa MacDaid
SK50 9541 6499 1095 9823 7745,QTEC,$72.30,9:25 AM,6:45 PM,Shea Barwood
CZ29 0268 0008 6851 0587 5864,SYX,$98.84,9:27 AM,9:38 PM,Valida Tiron
GT13 U9HD I6MS BWXT OO3N DV37 YEIV,CCJ,$53.53,8:29 AM,6:09 PM,Ninette MacRirie
SI88 2440 3400 5614 494,FAB,$35.53,8:43 AM,6:13 PM,York Reimer
GE79 XU74 1009 6737 1535 68,BLVDU,$78.31,8:15 AM,7:51 PM,Pat Lamprecht
FR71 0929 9185 40DK YYWW SPH9 Y77,RELY,$48.05,8:43 AM,8:59 PM,Angelica Newlands
VG69 SKWK 9871 2548 3545 4803,IMGN,$64.92,8:31 AM,8:59 PM,Garwin Sorsbie
CZ70 9167 5998 7944 0969 6406,HRL,$79.30,9:46 AM,7:39 PM,Bridget Haddon
LV30 QFYW RWQ9 ZESQ VJPU V,PY,$42.55,9:27 AM,7:18 PM,Ado Tatchell
BE19 2391 3796 7729,CCL,$45.09,8:27 AM,9:04 PM,Joshua Orro
PT64 4745 1933 4474 8344 7620 0,NMM,$87.07,8:45 AM,8:14 PM,Marion Groven
BG95 EKPK 5806 91BC RZLG P0,HURC,$62.48,9:20 AM,8:31 PM,Emelina Brisse
FR69 8755 6523 321Q LMNR PDEG W07,LW,$31.73,9:53 AM,9:56 PM,Carilyn Twitty
FR19 1448 6205 44II MW3Q IUEF O18,BA,$64.02,9:12 AM,10:45 PM,Brenda Borton
LI41 1468 6HUZ 340W CXJC O,OXBRW,$86.78,9:22 AM,7:15 PM,Shela Tosdevin
FR56 5803 1844 818K 6SGP WBFQ O91,NYCB^U,$72.08,9:11 AM,10:24 PM,Karee Korting
SM73 Z333 9577 8182 3KHC LWKL HJZ,RF^A,$84.90,8:48 AM,7:11 PM,Ricki Behagg
BH27 LWPI XHNQ RL4M FKK9 9R,SBSI,$94.15,8:29 AM,6:42 PM,Allx Snaddon
KW50 YYDM SG1I VDOP G2IL P80R STOQ ZD,LPG,$78.87,9:22 AM,7:45 PM,Jecho Corbitt
RS31 9023 6937 0631 1873 81,YUMC,$43.30,8:13 AM,6:07 PM,Kerk Gibbin
FR81 6733 9244 836P NEYU 3IN7 I65,BNED,$55.14,9:55 AM,7:15 PM,Marci Ellicott
HU73 8562 6337 0581 0178 3083 6339,TSEM,$61.24,9:47 AM,10:58 PM,Allys McLenahan
TR84 7888 4DD4 GFSP MG77 5QOR 7P,PSA^W,$86.91,8:33 AM,9:55 PM,Junina Shawcroft
FR06 1182 3335 03DU 4OF9 E07W X80,MBT,$35.83,9:15 AM,10:07 PM,Ezechiel Chanders
CH84 3964 5TRQ KMY4 6LPP T,SVVC,$90.00,9:04 AM,6:06 PM,Loralyn Iorizzo
MK03 761L EN6K JLMK U17,CSQ,$45.10,8:31 AM,10:45 PM,Christye Extal
GI33 LECJ MCUA KAYG 3AO2 KQY,DOOR,$31.93,8:06 AM,10:54 PM,Joey Augur
LI23 6406 7JGU EFOP 9UFZ 4,PNTA.CL,$46.00,9:39 AM,8:16 PM,Amalie Scanlin
FR02 0126 6016 23XM RSXG PWUZ M25,SID,$72.86,8:11 AM,9:21 PM,Michail Hardacre
SE14 4776 7274 9547 5793 9711,CLNS^E,$58.24,8:52 AM,6:56 PM,Francesco Mitkcov
CY30 1592 6947 EEEF 2QL5 Y8LD VQO0,ARAY,$97.05,9:15 AM,8:43 PM,Irina Kidds
SK26 3659 3440 5890 8484 7847,ABUS,$90.92,8:19 AM,9:09 PM,Micheline Laity
FR55 4151 4639 06SB GLW1 L5T6 I93,EML,$96.44,9:03 AM,6:21 PM,Archy Schohier
CY32 6886 4410 G1YK V03R 7HRA ECI0,JPC,$50.41,8:21 AM,6:58 PM,Ermina Kopecka
LB51 0544 MQMP MAAO 0CBH AP9O VA4E,IRCP,$31.14,8:46 AM,7:57 PM,Simonette Peacher
FR18 1301 2238 52PM M0QW IHHY L94,HDNG,$31.60,9:10 AM,9:15 PM,Hali O'dell
EE67 3159 8511 2901 6396,CTIC,$40.21,9:50 AM,10:18 PM,Pegeen Nettle
IS63 6964 5625 2925 3615 7843 35,MOGLC,$60.61,8:49 AM,6:28 PM,Donavon Candish
SA63 49GK BN8Q X9YL LIIO 9KOV,NDRA,$48.93,8:37 AM,10:17 PM,Arnie Bednell
RS39 3063 8817 0106 2211 81,QTM,$70.72,9:59 AM,10:59 PM,Lorianne Salisbury
SM69 Z516 5067 756I WHQ9 S1LU 9V2,TRVN,$31.56,9:06 AM,9:23 PM,Brita Beddon
AE97 4237 2634 5819 7418 568,SAN,$42.79,8:05 AM,6:11 PM,Pinchas Dobing
DE61 5208 8882 8419 9497 79,SODA,$37.23,9:52 AM,10:37 PM,Jonas Kibbey
SI48 1861 9659 1818 429,IONS,$85.92,9:29 AM,7:45 PM,Tanner Allbut
FO20 9228 0646 3414 09,DDF,$54.89,8:47 AM,6:43 PM,Richard Mateev
IT32 B880 0371 400W CRTR FTZB COD,MMDMR,$49.33,9:32 AM,7:55 PM,Norbert McCumskay
VG26 MRIP 2570 2623 8705 3825,HEQ,$78.42,9:44 AM,10:38 PM,Emelyne Tonks
LI67 4589 0FQK J5FN TFWI 3,HE^U,$76.29,9:48 AM,9:20 PM,Lexine Wiltshier
GE34 JD13 3196 4594 4536 98,SPLK,$90.74,9:40 AM,9:38 PM,Zebadiah Blanchet
FR84 1509 2198 91HR 7T6X NX2G D27,MSEX,$90.44,8:59 AM,10:43 PM,Warner Gutsell
LB71 3225 UD6L IGTM APMQ 49MJ 0CB7,RSO^A,$73.58,8:11 AM,6:09 PM,Caprice McCarney
LT18 6572 6038 5302 0584,MNK,$72.94,8:00 AM,10:21 PM,Shaylynn Korneichuk
EE09 7754 6613 7771 4774,BAM,$65.79,9:46 AM,7:49 PM,Chick Silverston
GI85 HVTA 6H7A MYTI SJDK XJQ,Z,$96.35,9:22 AM,6:51 PM,Gertruda Bodman
FR05 9104 5198 411G OG8E IMXJ O06,SBNY,$62.74,8:55 AM,6:38 PM,Alic Ellar
IS48 8082 6330 2451 3278 6239 00,DBL,$70.20,8:06 AM,7:26 PM,Leontine Kaye
GL43 3148 4862 8511 97,ACCO,$67.57,9:07 AM,8:57 PM,Giulietta Santino
SA44 90V3 ITRH KE0A PQYT XBV5,HSIC,$30.67,8:08 AM,6:24 PM,Brena Littefair
SK66 8467 2981 9880 5163 9331,PEB^C,$59.09,8:37 AM,9:08 PM,Engelbert Caswall
NO06 2125 4077 429,BML^I,$39.44,9:19 AM,6:23 PM,Frannie Heggie
FR18 0034 5702 09FK NYIP O8KE U80,SKX,$35.32,8:30 AM,9:18 PM,Crystie Huegett
FR95 0471 7642 87OD 8MYD CCYM Q85,DDBI,$88.39,8:29 AM,7:30 PM,Nina Avieson
KW28 QQQG IJMS OURK 1RVJ MRYU STBL LH,STI.WS.B,$67.74,8:14 AM,9:25 PM,Aura Greig
FR54 9588 3524 29DJ NFI8 CYIT X50,WPZ,$56.44,8:38 AM,7:17 PM,Henka Eades
FR12 9425 9477 41OR BLRL FDHR 078,SLCT,$83.16,8:20 AM,10:08 PM,Marita Spearing
MR13 5111 6050 6725 4254 0455 403,DATA,$54.95,8:32 AM,7:11 PM,Rustin Wychard
MC73 9880 5112 50CS ZI5F E1VN H65,TRMB,$44.46,9:54 AM,10:20 PM,Patrick MattiCCI
FR04 5504 3388 73ZH EG1S IUAA C52,SCE^F,$47.15,8:33 AM,10:24 PM,Yasmin Domerq
SA32 11RO X7EN VXA0 JJ3C 3GV6,DWFI,$38.82,9:52 AM,10:20 PM,Douglas Hayball
MK17 290J NVAO RA4K X86,MARA,$79.35,8:53 AM,8:06 PM,Marney Van der Veldt
GB14 HYQB 3866 4610 1435 60,CSBK,$63.41,8:08 AM,7:15 PM,Christy Kures
HU95 0672 9909 6840 0307 4441 4361,AMRI,$73.80,9:26 AM,8:54 PM,Shalne Farn
IS36 6090 5832 1224 5429 7508 86,HFBL,$52.76,9:35 AM,9:19 PM,Josias Lettington
AZ12 VHDV SI7W PRR7 8WXD YAJB EIFR,UBNT,$92.63,8:04 AM,10:29 PM,Gaelan Infante
SK60 6900 4377 5100 7061 5117,DRAD,$87.14,9:57 AM,10:37 PM,Adora Dunnan
FR73 8691 5470 14IF CAFL HEFE M95,CHI,$70.35,9:30 AM,9:38 PM,Kit Soggee
FR73 8667 1666 56DQ XIUV XIGN J08,DHR,$93.30,8:17 AM,10:08 PM,Tallie Keynd
BE10 9104 2560 2263,MTRX,$59.85,9:21 AM,6:41 PM,Gabe Danielsson
ME72 7835 0526 5903 5108 50,MANT,$34.23,9:16 AM,9:44 PM,Britni Garrigan
GI81 XYGX 4IUI NR2A 86Q6 IOQ,DSPG,$73.07,8:22 AM,8:51 PM,Sonny Shenton
IL64 7176 9527 2187 6060 451,BCC,$64.30,8:22 AM,10:17 PM,Norton Horning
FR66 1109 0593 79VL YW6E T2SS X98,SHSP,$74.49,8:06 AM,8:02 PM,Geraldine O'Flannery
RO21 XXIZ OLLL JDBL YN3I SYHD,WR,$60.50,8:18 AM,6:31 PM,Riane Dreini
LU51 111E 8MIR 6PDR EHUJ,PAY,$33.57,9:17 AM,6:47 PM,Fancie Cogzell
FR60 3423 4204 81TY 04QJ UJCB Q94,SLNOW,$46.87,9:53 AM,8:59 PM,Trix Semrad
BA42 0222 2544 4514 6288,OSG,$97.62,9:20 AM,10:10 PM,Francois Shippard
SE14 0167 6254 3120 6857 0679,CMC,$96.63,8:22 AM,10:56 PM,Saundra Rawsthorne
CH62 5792 6AUG BMRK 5BED 3,VVUS,$89.93,8:26 AM,7:02 PM,Stefan Gawthorpe
PT94 4943 2543 7832 1432 7655 9,STKL,$88.81,9:42 AM,7:25 PM,Karrah Tanser
FR45 5279 3951 3374 4XYN L6CX Z43,DOW,$81.33,8:50 AM,6:58 PM,Missie Garcia
FR13 6503 0826 84T8 KG4M NTYJ W47,NAN,$70.26,9:50 AM,7:15 PM,Zebadiah Waylett
NO40 7890 6014 498,ARKR,$69.29,8:15 AM,10:47 PM,Gardiner Tattersdill
NL80 QJDL 0765 9677 68,AMRN,$82.89,8:59 AM,10:57 PM,Armin Tace
IL30 8063 1409 1440 8356 203,PG,$30.98,8:54 AM,7:12 PM,Artair Whife
FR85 1221 7629 20OS TQ2X 6VOQ P51,NAVG,$34.35,8:39 AM,6:31 PM,Jimmy Blesdill
FR86 3906 3959 31MP ATQT WPFX 328,OVBC,$82.24,9:12 AM,6:44 PM,Pattie McQuilliam
GE09 CD76 8249 6483 5689 62,NVFY,$33.13,9:39 AM,7:02 PM,Jilli Imloch
FR98 1051 9424 63OM UZ0S 0K9G O55,QTM,$74.17,9:49 AM,6:36 PM,Lamont Kanzler
GE79 XF20 4233 3255 9339 03,BLVDU,$92.09,9:53 AM,7:40 PM,Kenna Counihan
GB50 QLIJ 3007 1119 7116 76,MUR,$82.42,8:20 AM,8:20 PM,Oswell Longland
MT31 YUQQ 6679 1HE8 JPJX HH4K YE30 GBX,LWAY,$35.34,8:13 AM,8:54 PM,Moishe Halifax
SM21 N602 9359 263I KUXZ GLQL HEL,NCIT,$92.95,8:19 AM,9:43 PM,Morrie Stanhope
LI96 1509 1QGM FPMQ JJLW N,BSF,$61.46,9:10 AM,7:04 PM,Katherine Pealing
DE38 7142 1490 9617 0860 12,UNT,$68.89,9:09 AM,10:32 PM,Nerita Marham
LV71 XEVM DJNR ZKZ2 EKIK U,PVBC,$53.53,8:04 AM,9:25 PM,Odey Keener
GB13 XTKG 5310 5619 8539 43,CTSH,$65.77,9:54 AM,7:21 PM,Chandra Marians
MU79 JHTG 5532 3615 8948 8694 403M QW,ITIC,$69.15,9:53 AM,10:23 PM,Sigvard Folker
IS29 8846 2351 8539 3543 3578 76,HPJ,$98.39,8:09 AM,7:49 PM,Wilmette Freestone
GL97 4672 1937 4332 53,KTWO,$93.25,8:33 AM,6:48 PM,Iago Gilvear
SK97 1236 8651 3525 6682 5185,FSV,$94.33,9:52 AM,9:42 PM,Harcourt Sneesby
FR79 2726 8969 744R ZDLY K11Z 362,SNGX,$68.38,9:34 AM,6:41 PM,Timothy Berzen
BE79 0315 3541 4052,CHH,$78.25,8:24 AM,6:26 PM,Ayn Mulgrew
PT28 4443 6732 8744 4029 3767 0,BYD,$80.58,9:21 AM,9:44 PM,Carlin Emery
FR65 5207 9457 05QZ FYJP GFHL P13,GSHTU,$59.32,9:22 AM,10:46 PM,Isa Deery
DO38 ORF2 5855 8807 1844 2359 5795,SKYS,$86.46,8:41 AM,10:10 PM,Hastings Sallnow
GL54 0679 5314 7153 36,ALNY,$31.21,9:31 AM,7:26 PM,Ruby Pyford
BA06 6798 9314 0576 7847,BKH,$42.61,8:08 AM,9:34 PM,Zackariah Hassekl
SE66 9150 9478 6953 3226 0866,BOKF,$78.01,9:24 AM,6:10 PM,Rudolfo Bassano
MU83 GLLI 4086 2165 9566 6695 181M AX,BVXV,$60.18,9:32 AM,9:36 PM,Kailey Van der Son
FR68 3570 4384 24OP JSSG Y3EY P05,VMBS,$66.53,8:29 AM,6:53 PM,Dani Meriguet
MT69 IKND 3319 7IOT I6A1 G728 WY7R OFY,MASI,$30.74,8:18 AM,6:41 PM,Erhard De Domenicis
FR13 0163 3197 678C 0OOI YLRZ O95,VIIZ,$62.10,8:20 AM,10:23 PM,Kym Gribbon
BA62 4098 7238 0504 3250,GLADO,$31.12,9:34 AM,10:36 PM,Fonz McGawn
LU98 9062 YPFH YY9L LG83,ALLE,$35.90,9:33 AM,8:57 PM,Nicky Oglethorpe
GL81 3934 5435 2154 98,HYLS,$30.08,8:29 AM,6:37 PM,Karim Genty
BR83 7606 8556 7691 5393 6762 185F B,ONSIW,$69.37,9:30 AM,9:35 PM,Geoffry Longbone
FR92 5062 7987 58SD 5IMM GMRK X50,PRIM,$79.46,9:22 AM,7:31 PM,Vin Abba
DO61 Q3NZ 2643 0651 4152 0894 9233,PACW,$71.66,9:57 AM,6:15 PM,Margarita Madden
DK31 4223 0634 9024 73,ARNA,$75.03,9:29 AM,9:22 PM,Roby Vaneschi
MT81 AKDZ 5257 7YHS 9W8D XRRK NKKO DY8,ORN,$91.94,9:05 AM,8:05 PM,Casper Endley
IL71 4712 2523 2287 0277 551,GXP^B,$54.37,8:47 AM,10:05 PM,Sean Manon
RS88 2830 4494 8438 8372 07,WD,$98.03,8:22 AM,6:54 PM,Christin Ruxton
MK09 404Q GJY3 UP6H P32,TPZ,$82.60,9:00 AM,7:05 PM,Knox Beiderbeck
CZ76 3968 8766 0524 4076 6305,VECO,$67.36,8:49 AM,9:41 PM,Tarra Gillie
LB27 6564 B4UK ZMER MMCQ DEYT XKZ0,UCFC,$69.91,8:24 AM,10:39 PM,Joana Moncaster
FR30 8600 7835 08E3 4YEB MTSX 834,MPX,$65.96,9:02 AM,7:33 PM,Rockey Walicki
ES31 5415 5285 2082 4962 9616,SHOO,$34.69,9:47 AM,6:44 PM,Corinna Sneesby
LT88 3981 4623 6400 8470,CFMS,$99.21,8:27 AM,9:14 PM,Andi MacLise
BR91 1609 6854 2419 5474 0630 677S A,ETB,$58.62,8:05 AM,10:02 PM,Marco Manhood
FR84 5463 7111 84DS UBHF 72MP Q56,R,$81.85,8:01 AM,7:38 PM,Fae Buntin
SI02 8052 0848 5562 132,CPF,$33.97,8:30 AM,6:56 PM,Rafaelia Millsap
CH51 5286 9IUL CYYE 3XSZ A,GLOP^A,$54.24,8:20 AM,10:54 PM,Justin Jerdan
LB15 9996 7ZBB AQRS 3QA3 DKOG O4OV,CHSCM,$79.77,9:02 AM,7:32 PM,Ermentrude Adie
MR45 9183 3976 4685 2996 7290 157,GDEN,$53.54,9:08 AM,7:27 PM,Caritta Perett
FR51 1548 6976 28YF JCID I41E N09,BOOM,$60.39,8:41 AM,9:54 PM,Karia Ortiga
FR63 1262 4469 43FY WMMO GIAP X53,LBRDA,$80.32,8:51 AM,8:04 PM,Graig Dewerson
AZ62 RWRA 8HOV GXYW VNLR UGOO FG9C,CACI,$60.26,9:13 AM,7:16 PM,Muhammad Jubert
NL37 VONW 8160 1412 25,CLRO,$31.92,8:54 AM,10:13 PM,Sascha Carde
PK86 UAXC VZAR VVEK UHE5 OC9O,VNO^K,$57.62,9:29 AM,6:47 PM,Lewiss Drysdall
IS29 6712 2368 4426 9926 3604 66,FCFP,$43.50,9:39 AM,9:04 PM,Ulric Darwin
MC23 2304 0283 34FB YB1V 4RHG T36,RETA,$71.83,9:14 AM,8:14 PM,Shawn Wingfield
DK95 9335 8023 3615 08,RHT,$50.05,8:13 AM,10:39 PM,Laural Gepson
MD59 OI1P 6XOU 5FJG FWM9 M89E,MORN,$86.72,9:32 AM,8:30 PM,Hazlett Machen
IE86 BZZG 8585 3629 3093 31,LITB,$78.30,8:01 AM,9:54 PM,Malina Pellissier
GR92 5176 318E YESG CDMT PRYE QLL,ROP,$35.04,9:35 AM,9:55 PM,Roxy Bernier
SM07 T365 9521 5710 6ZG4 DWDL 8NX,NEWTZ,$53.97,8:00 AM,7:05 PM,Ingar Pummery
HR39 6233 9900 3064 1238 4,WMIH,$81.68,9:46 AM,8:59 PM,Wit Pedrocchi
AD12 3969 3653 9D4M CINT RSAO,ASH,$95.02,9:33 AM,6:50 PM,Cherish Ebbles
RO13 QDLG E9BZ CDME WSOJ NAFA,SCSS,$51.34,9:54 AM,7:56 PM,Rufus Kohnert
LI51 6783 6H3K OO50 0S5D O,CPLA,$89.14,8:25 AM,10:12 PM,Wendi Faiers
IT39 R047 6159 795D S5UN KTZB LI3,DTV,$85.94,9:15 AM,10:09 PM,Frank Duckerin
ES74 6147 2801 3372 5560 2424,BBT^F,$70.23,8:52 AM,10:23 PM,Garland Guitonneau
FR74 5189 1667 639J M663 NGT6 A74,FND,$48.25,9:36 AM,7:40 PM,Saxon Izon
FR24 4112 6399 71YW BUCI TENX F19,SMBK,$37.27,8:01 AM,10:48 PM,Chery Cardello
KW17 HSBQ VFVU G1YA MZTB 2RCP VLLS AE,SDRL,$77.80,8:04 AM,7:05 PM,Carney Chatband
NL97 YQOM 1461 1572 36,TDJ,$52.99,8:19 AM,8:52 PM,Etan Penrose
IT52 S839 5898 792M BAID NSKL RSE,CHEK,$80.49,8:09 AM,8:23 PM,Robinson Ellerton
BA87 5980 5547 9421 1502,GAM,$95.92,9:13 AM,9:59 PM,Iain Binding
FR26 0522 8573 78B8 AZVJ LVSG G07,KSS,$43.35,8:47 AM,6:40 PM,Anna-maria Charley
LI84 8126 9A2N FNSO DW9J W,TGTX,$51.30,9:31 AM,6:22 PM,Audie Heater
IE24 XXUY 6196 5773 2282 56,PRI,$68.59,8:48 AM,10:47 PM,Ring Blest
LU07 317M FRZM KNPW NBOD,WK,$65.32,8:33 AM,8:02 PM,Lindy Elwin
KZ79 2549 JOU7 VJGD 3SKV,NWPX,$49.53,8:52 AM,6:46 PM,Angy Petry
NO90 0813 4708 256,XHR,$34.38,9:43 AM,10:51 PM,Dan Gotts
RS98 9569 0091 9704 2464 59,FPXI,$51.58,9:29 AM,10:00 PM,Tristan Hubane
CH26 6759 4NST G9Q2 PWBO F,PVG,$95.26,9:23 AM,7:47 PM,Peder Giacomo
CH83 5591 6K5T DQKZ 7TV0 2,VVV,$52.64,8:24 AM,8:25 PM,Drusie Senior
VG80 EIEG 2150 7459 2858 4497,CIA,$43.09,9:45 AM,9:59 PM,Doug Ducaen
CY95 7244 1378 JWMI NEST FVF2 QKZP,OPK,$74.84,9:06 AM,8:04 PM,Auberon Boylin
AE82 5471 4499 6487 8750 455,ALL^F,$45.31,8:14 AM,7:01 PM,Lauren Duff
RS31 9075 9395 1853 2543 86,AEH,$90.63,8:55 AM,7:12 PM,Adey Ollie
DK57 0938 4708 1209 06,PRTS,$71.15,9:43 AM,9:56 PM,Care Malling
ME61 9949 4510 1690 9557 04,MEOH,$71.82,8:37 AM,9:03 PM,Nolana Croutear
FO14 8810 4991 9240 72,CVTI,$80.05,8:44 AM,10:13 PM,Madge Copperwaite
KW75 UBRW MVCX 77HU CMPK KKBW U188 MA,ETV,$41.51,9:38 AM,8:47 PM,Gaylor Edeson
FR12 0993 0093 55MC CBRW HNYU 430,CEL,$42.52,8:07 AM,6:07 PM,Shela Schaumann
MC81 1010 1191 323H SVBI ZM1G U51,HBI,$36.48,8:15 AM,10:29 PM,Vanni Lounds
FR08 1679 9930 73TB CQWJ JTO0 R14,HAFC,$37.66,8:00 AM,6:56 PM,Licha Klee
BE86 2132 6885 4745,AGNCB,$87.42,8:23 AM,8:42 PM,Selinda Venditto
BH68 BSCG YE0S K12X O3GR SJ,CYHHZ,$32.61,9:36 AM,8:11 PM,Edyth Radbourne
LU53 462F UL8L I19T 7VSU,PSA^A,$62.77,9:47 AM,6:04 PM,Sadella Blaze
DE14 7034 0535 3655 8528 37,MSCI,$51.50,8:58 AM,8:50 PM,Aron Betke
FO52 0515 1234 3683 56,GWRE,$90.48,8:55 AM,7:58 PM,Lenora Cuesta
RS20 3320 9956 4194 3957 65,ARIS,$64.23,9:06 AM,9:35 PM,Ross Phillpotts
NL39 PWAP 4919 8233 74,KN,$88.27,8:13 AM,6:21 PM,Ethelda Sandeland
LV58 HNOZ VAMS S9ZB OJQU D,MARA,$62.65,8:41 AM,6:55 PM,Rossy Stonelake
CR32 5869 9171 6059 2088 1,EYES,$48.86,8:48 AM,7:20 PM,Shannon Buckles
MK56 297Z 9RIV EPB3 787,UG,$89.82,8:03 AM,7:51 PM,Avril Fulford
IT04 V242 7183 1311 DUQV 6RFD TVH,SPLS,$43.17,8:58 AM,9:36 PM,Gillian Le Frank
NO02 3723 2928 338,full_name,$78.77,9:27 AM,8:21 PM,Cami Poulglais
CR85 7629 1280 2275 6878 4,TITN,$85.86,9:56 AM,10:19 PM,Theresa Lambarton
SK57 6151 5178 3397 7742 6215,LAKE,$65.56,9:02 AM,8:31 PM,Giuseppe Bernardt
BG28 KFOL 5640 95ZE C0AZ PL,PAVM,$63.21,9:13 AM,10:31 PM,Broderic Tomkies
KZ17 168H UH4T JYBN OPCZ,CW,$46.53,9:51 AM,6:53 PM,Erin Rudsdale
MR34 5327 5632 6913 3097 6773 594,AEB,$38.07,8:38 AM,6:08 PM,Ellyn Boase
